0,0,0,0,0.0,2.0,0.0,50.0,0.5,10.0,
90,0,1,0,60.0,0.0,60.0,70.0,0.5,10.0,
0,0,0,0,0.0,0.0,20.0,70.0,0.5,10.0,
-10,1,0,0,65.0,0.0,0.0,20.0,0.5,10.0,
10,1,0,0,59.5,3.45,0.0,40.0,0.5,10.0,
-90,0,1,0,60.0,0.0,-50.0,70.0,0.5,10.0,
90,0,1,0,40.0,0.0,60.0,30.0,0.5,10.0,
90,0,1,0,5.0,0.0,40.0,15.0,0.5,10.0,
10,0,0,1,50.0,-2.0,0.0,50.0,0.5,10.0,
-10,0,0,1,98.8,8.6,0.0,50.0,0.5,10.0,
-15, 0, 0, 1,88.0,13.0,0.0,40.0,0.5,10.0,
15,0,0,1,60.0,-10.0,0.0,30.0,0.5,10.0,
-90,0,1,0,-70.0,0.0,-40.0,80.0,0.5,10.0,
90,0,1,0,-30.0,0.0,-70.0,20.0,0.5,10.0,
-90,0,1,0,-100.0,0.0,30.0,110.0,0.5,10.0,
-3.5,0,0,1,12.0,0.75,74.55,20.0,0.5,10.0,
0,0,0,0,0.0,2.0,-11,50.0,3.0,1.0,^,
0,0,0,0,20.0,2.0,11,70.0,3.0,1.0,^,
90,0,1,0,70.0,0.0,70.0,70.0,3.0,1.0,
0,0,0,0,23.0,0.0,-40,70.0,3.0,1.0,
-10,1,0,0,55.0,-5.2,39.7,10.0,3.0,1.0,
0,0,0,0,0,3.2,-20.0,10.0,3.0,1.0,
10,1,0,0,59.3,1.8,0.0,50.0,3.0,1.0,
0,0,0,0,-10.0,0.2,20.2,40.0,3.0,1.0,
-90,0,1,0,40.0,0.0,-58.0,60.0,3.0,1.0,
0,0,0,0,19.0,0.0,18.0,60.0,3.0,1.0,
!
